"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110029 Santa Luzia D'Oeste";-;-;1;1;-;-;-;-;-;-;-;-;2
"110148 São Felipe D'Oeste";1;5;-;6;5;-;-;-;-;-;-;1;18
"110149 São Francisco do Guaporé";2;2;3;-;1;-;-;2;-;-;-;-;10
"110032 São Miguel do Guaporé";2;2;-;-;-;-;-;-;-;-;-;-;4
"110150 Seringueiras";3;2;1;-;-;-;-;-;-;-;-;1;7
"110155 Teixeirópolis";-;1;-;-;-;1;-;-;-;-;1;-;3
"110160 Theobroma";-;1;2;-;1;-;-;-;-;-;-;-;4
"110170 Urupá";2;6;1;1;-;1;-;1;1;-;-;-;13
"110175 Vale do Anari";6;8;-;2;2;-;-;-;-;-;4;-;22
"110180 Vale do Paraíso";4;17;13;7;-;1;1;-;-;-;1;-;44
"110030 Vilhena";2;2;4;4;1;2;1;-;3;-;2;2;23
"120001 Acrelândia";1;15;6;11;14;6;5;-;3;22;33;24;140
"120005 Assis Brasil";1;-;1;-;-;-;-;-;-;-;-;-;2
"120010 Brasiléia";71;23;26;9;8;4;4;4;2;7;4;-;162
"120017 Capixaba";10;2;2;2;1;-;1;-;-;-;-;-;18
"120020 Cruzeiro do Sul";19;41;48;27;21;13;14;37;13;52;122;224;631
"120025 Epitaciolândia";13;24;19;13;3;2;2;-;3;5;-;2;86
"120033 Mâncio Lima";1;-;-;-;-;-;-;-;-;-;2;2;5
"120038 Plácido de Castro";13;57;18;13;6;5;2;1;-;-;2;6;123
"120040 Rio Branco";116;64;61;61;22;16;17;13;11;21;33;62;497
"120042 Rodrigues Alves";-;-;4;-;1;-;-;-;1;1;4;8;19
"120050 Sena Madureira";1;-;-;-;-;1;-;-;-;-;-;-;2
"120045 Senador Guiomard";-;-;-;-;-;-;-;-;-;-;-;1;1
"120070 Xapuri";42;26;30;26;14;18;5;5;4;5;14;9;198
"130002 Alvarães";-;-;3;-;2;-;-;-;-;-;-;-;5
"130010 Anori";-;-;-;-;1;-;-;-;-;-;-;-;1
"130014 Apuí";1;-;-;-;-;-;-;-;-;-;-;-;1
"130030 Autazes";-;-;-;-;1;-;-;-;-;-;-;-;1
"130040 Barcelos";-;1;-;-;-;-;1;1;-;-;-;-;3
"130060 Benjamin Constant";2;-;2;2;3;-;-;-;-;-;1;2;12
"130063 Beruri";-;4;2;4;-;1;-;-;-;-;-;-;11
"130068 Boa Vista do Ramos";-;4;-;3;-;-;-;-;-;-;-;-;7
"130070 Boca do Acre";-;1;-;-;-;-;-;-;-;-;-;-;1
"130080 Borba";7;11;21;1;-;-;-;-;1;-;1;-;42
"130083 Caapiranga";1;-;-;-;-;-;-;-;-;-;-;-;1
"130090 Canutama";1;-;-;-;-;-;-;-;-;-;-;-;1
"130100 Carauari";-;2;14;17;2;-;-;-;-;-;-;-;35
"130120 Coari";61;85;29;31;2;3;4;13;1;2;11;1;243
"130130 Codajás";-;-;24;34;-;1;-;-;-;-;-;-;59
"130165 Guajará";3;-;-;1;3;7;14;13;9;13;10;7;80
"130170 Humaitá";15;16;9;6;1;1;-;-;-;-;1;2;51
"130185 Iranduba";2;3;2;-;1;-;-;-;-;-;-;-;8
"130190 Itacoatiara";-;-;8;4;-;-;-;1;1;-;1;9;24
"130210 Japurá";-;-;2;-;-;-;-;-;-;-;-;-;2
"130240 Lábrea";1;3;2;3;1;-;1;1;-;-;1;3;16
"130250 Manacapuru";5;8;2;-;-;2;-;-;-;-;-;-;17
"130260 Manaus";326;356;390;394;228;163;139;172;216;72;43;55;2554
"130290 Maués";7;12;20;1;1;2;1;-;-;-;-;1;45
"130310 Nova Olinda do Norte";1;5;-;2;-;-;-;1;-;-;-;-;9
"130320 Novo Airão";2;2;5;1;-;1;-;1;-;1;-;1;14
"130330 Novo Aripuanã";7;22;1;1;1;1;-;-;-;-;2;1;36
"130340 Parintins";-;-;8;8;5;1;1;-;-;-;-;1;24
"130350 Pauini";2;-;-;-;-;-;-;-;-;-;-;-;2
"130380 São Gabriel da Cachoeira";13;10;1;11;4;-;5;6;7;5;3;6;71
"130406 Tabatinga";8;26;10;3;11;9;6;19;-;16;1;5;114
"130410 Tapauá";29;22;25;3;5;5;1;1;1;-;4;2;98
"130420 Tefé";10;4;11;18;19;16;14;32;39;42;56;48;309
"130440 Urucurituba";-;-;1;-;-;-;-;-;-;-;-;1;2
"140002 Amajari";-;-;-;-;1;-;-;1;1;1;-;-;4
"140010 Boa Vista";14;6;22;23;42;31;27;19;6;5;5;3;203
"140015 Bonfim";-;-;-;-;1;3;2;-;-;-;1;2;9
"140017 Cantá";-;-;-;-;-;-;-;1;1;-;-;-;2
"140020 Caracaraí";-;1;1;1;-;-;1;-;-;-;1;-;5
"140028 Iracema";-;-;-;-;2;-;-;1;-;-;-;-;3
"140030 Mucajaí";-;-;-;-;-;1;5;1;3;3;-;-;13
"140047 Rorainópolis";-;2;3;4;5;1;2;-;2;-;-;1;20
"140050 São João da Baliza";-;-;7;5;5;6;-;-;-;-;-;-;23
"140060 São Luiz";-;-;-;-;-;-;2;-;-;-;-;-;2
"150010 Abaetetuba";14;7;7;2;3;2;4;100;10;7;5;3;164
"150013 Abel Figueiredo";1;2;-;1;2;-;-;1;-;-;-;-;7
"150020 Acará";1;1;-;-;-;-;-;-;-;-;-;-;2
"150030 Afuá";1;-;-;-;-;-;-;-;-;-;-;-;1
"150034 Água Azul do Norte";27;70;31;20;24;2;-;-;-;1;-;-;175
"150040 Alenquer";7;8;8;9;4;1;3;-;-;-;-;2;42
"150050 Almeirim";-;1;2;4;-;1;-;-;-;-;-;-;8
"150060 Altamira";4;4;8;3;1;2;10;4;5;5;1;4;51
"150070 Anajás";-;-;-;-;-;-;-;-;-;-;1;-;1
"150080 Ananindeua";3;14;22;10;5;2;-;3;1;4;2;3;69
"150085 Anapu";374;207;12;1;-;-;-;-;-;-;-;-;594
"150090 Augusto Corrêa";-;-;1;-;2;1;-;-;-;-;-;-;4
"150095 Aurora do Pará";-;-;-;1;1;-;1;2;1;-;-;-;6
"150120 Baião";-;-;-;-;-;1;-;-;-;-;-;-;1
"150125 Bannach";6;5;2;-;-;-;-;-;-;-;-;-;13
"150130 Barcarena";-;2;2;-;-;-;1;8;12;3;3;4;35
"150140 Belém";21;23;46;10;16;13;7;18;20;22;56;51;303
"150145 Belterra";1;1;-;-;1;-;2;3;-;1;-;-;9
"150150 Benevides";-;-;-;-;-;-;-;-;-;-;1;1;2
"150157 Bom Jesus do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"150160 Bonito";-;1;2;-;-;-;-;-;-;-;-;-;3
"150170 Bragança";1;3;1;1;22;1;-;-;2;-;1;-;32
"150172 Brasil Novo";3;-;2;-;-;1;-;-;-;-;-;-;6
"150175 Brejo Grande do Araguaia";1;-;2;-;1;-;-;-;-;-;-;-;4
"150178 Breu Branco";75;114;153;-;1;-;-;1;-;-;-;-;344
"150195 Cachoeira do Piriá";-;6;13;1;-;-;-;-;-;3;-;-;23
"150210 Cametá";-;2;3;-;-;2;2;-;2;7;1;-;19
"150215 Canaã dos Carajás";11;8;2;4;1;-;1;-;-;1;1;1;30
"150220 Capanema";-;1;1;1;1;2;-;3;3;2;2;3;19
"150230 Capitão Poço";2;22;30;-;3;2;8;3;13;22;32;11;148
"150240 Castanhal";6;12;11;6;4;3;2;3;1;1;5;1;55
"150260 Colares";-;-;-;-;-;-;1;-;-;1;-;1;3
"150270 Conceição do Araguaia";36;50;34;12;3;1;1;1;-;-;2;3;143
"150276 Cumaru do Norte";-;10;1;1;-;-;-;-;-;-;-;1;13
"150277 Curionópolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"150285 Curuá";-;-;-;-;-;-;-;-;-;1;-;-;1
"150290 Curuçá";-;-;-;-;-;2;2;1;-;-;-;-;5
"150293 Dom Eliseu";-;-;1;1;1;-;-;-;-;-;-;-;3
"150295 Eldorado do Carajás";1;-;-;-;-;-;-;-;-;-;-;-;1
"150304 Floresta do Araguaia";1;-;-;-;-;-;-;-;-;-;4;-;5
"150307 Garrafão do Norte";-;1;-;-;-;-;-;1;1;-;-;-;3
"150309 Goianésia do Pará";5;31;16;1;12;8;6;2;1;42;10;7;141
"150310 Gurupá";-;3;-;-;-;-;-;-;-;-;-;-;3
"150320 Igarapé-Açu";-;-;-;-;1;-;-;-;-;-;-;-;1
"150330 Igarapé-Miri";-;-;-;-;1;-;-;-;-;-;-;-;1
"150340 Inhangapi";-;-;-;1;2;-;-;-;-;-;1;1;5
"150345 Ipixuna do Pará";1;2;-;-;-;-;-;-;1;-;1;1;6
"150350 Irituia";-;-;2;1;-;-;-;1;-;-;-;1;5
"150360 Itaituba";8;9;16;1;3;2;1;-;-;3;1;1;45
"150370 Itupiranga";-;-;4;-;-;1;-;-;3;1;-;2;11
"150375 Jacareacanga";1;-;-;-;-;-;-;-;-;-;-;-;1
"150380 Jacundá";2;37;38;11;-;4;2;1;-;1;-;-;96
"150390 Juruti";-;1;3;8;3;-;3;-;-;-;-;-;18
"150400 Limoeiro do Ajuru";-;-;4;14;10;-;2;-;-;-;-;-;30
"150420 Marabá";111;161;125;38;13;2;-;1;1;-;4;-;456
"150430 Maracanã";5;11;2;-;-;-;4;3;-;1;-;1;27
"150440 Marapanim";-;-;-;-;-;1;1;-;-;-;-;-;2
"150442 Marituba";11;-;2;1;4;2;3;6;26;21;8;13;97
"150445 Medicilândia";8;13;5;10;4;2;-;-;-;-;2;1;45
"150460 Mocajuba";-;-;1;-;-;1;-;-;-;-;-;-;2
"150470 Moju";-;-;-;-;-;1;-;-;-;-;-;-;1
"150475 Mojuí dos Campos";-;-;13;-;-;-;-;-;-;-;-;-;13
"150480 Monte Alegre";-;1;3;-;-;-;-;-;-;-;-;-;4
"150495 Nova Esperança do Piriá";19;23;4;-;7;7;1;1;2;3;-;-;67
"150497 Nova Ipixuna";1;-;1;1;-;-;-;-;-;-;-;3;6
"150500 Nova Timboteua";-;-;3;3;-;-;-;-;-;-;-;-;6
"150503 Novo Progresso";24;18;12;4;2;2;-;1;-;2;-;1;66
"150506 Novo Repartimento";2;86;39;6;4;5;2;-;-;-;-;-;144
"150510 Óbidos";-;-;-;2;-;-;-;-;-;-;-;1;3
"150520 Oeiras do Pará";1;-;-;-;-;-;-;-;-;-;-;-;1
"150530 Oriximiná";-;6;8;3;7;4;2;-;-;3;-;1;34
"150540 Ourém";-;-;1;-;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";33;15;18;3;2;-;-;-;-;1;-;-;72
"150548 Pacajá";36;143;79;21;5;1;-;-;-;-;-;-;285
"150549 Palestina do Pará";1;6;40;8;-;1;-;1;-;-;-;11;68
"150550 Paragominas";-;-;-;3;8;12;3;8;6;1;2;1;44
"150553 Parauapebas";68;222;378;234;125;33;25;6;8;6;5;3;1113
"150555 Pau D'Arco";3;14;12;10;4;-;-;-;-;-;-;-;43
"150565 Placas";-;-;-;-;-;1;-;-;-;-;-;-;1
"150600 Prainha";-;-;-;-;-;-;-;-;-;-;-;1;1
"150610 Primavera";1;1;1;2;-;-;-;-;-;-;1;-;6
"150611 Quatipuru";2;2;2;-;-;-;-;-;-;-;-;-;6
"150613 Redenção";34;18;9;5;14;6;2;2;2;5;10;20;127
"150616 Rio Maria";21;15;3;-;-;-;-;-;-;-;-;-;39
"150618 Rondon do Pará";-;38;33;5;2;1;-;-;-;-;-;-;79
"150619 Rurópolis";1;2;12;8;3;-;-;-;-;-;-;-;26
"150620 Salinópolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"150630 Salvaterra";-;2;-;-;-;-;-;-;-;-;-;1;3
"150650 Santa Izabel do Pará";-;-;-;-;-;-;-;-;-;1;-;1;2
"150655 Santa Luzia do Pará";3;-;5;1;2;1;-;-;-;-;-;-;12
"150658 Santa Maria das Barreiras";17;40;32;6;-;-;-;-;-;-;-;-;95
"150660 Santa Maria do Pará";-;-;1;1;-;-;-;-;1;-;-;-;3
"150670 Santana do Araguaia";2;3;9;2;3;2;-;-;-;-;-;-;21
"150680 Santarém";-;-;-;4;4;1;-;1;-;-;1;1;12
"150690 Santarém Novo";-;-;-;-;-;-;-;-;-;6;2;1;9
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;-;-;-;1;3;1;5
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;5;-;-;-;-;5
"150715 São Domingos do Araguaia";6;-;-;-;-;-;-;-;-;-;-;-;6
"150720 São Domingos do Capim";-;-;-;-;-;1;-;1;-;-;-;-;2
"150730 São Félix do Xingu";5;28;12;-;-;-;-;2;-;-;-;-;47
"150740 São Francisco do Pará";-;6;4;-;-;-;-;1;2;3;4;-;20
"150745 São Geraldo do Araguaia";65;68;55;17;7;2;-;2;1;-;1;-;218
"150746 São João da Ponta";-;-;1;-;-;-;-;-;-;-;-;-;1
"150747 São João de Pirabas";-;-;1;-;-;11;10;1;4;1;-;3;31
"150750 São João do Araguaia";21;6;4;16;12;5;4;5;-;10;9;10;102
"150760 São Miguel do Guamá";-;-;-;-;-;-;-;-;-;-;-;1;1
"150770 São Sebastião da Boa Vista";-;2;-;-;-;-;-;-;-;-;-;-;2
"150775 Sapucaia";-;-;1;-;-;-;-;-;-;-;-;-;1
"150780 Senador José Porfírio";-;-;-;-;4;-;-;-;-;1;2;-;7
"150790 Soure";-;-;-;-;33;3;10;51;1;-;-;-;98
"150795 Tailândia";3;1;1;-;1;-;-;-;1;-;-;-;7
"150796 Terra Alta";-;-;-;-;-;-;-;-;1;-;-;-;1
"150800 Tomé-Açu";-;1;1;-;-;1;-;-;-;1;-;-;4
"150803 Tracuateua";-;-;-;-;-;-;-;-;-;-;1;-;1
"150808 Tucumã";-;2;2;5;-;-;-;-;-;-;-;-;9
"150810 Tucuruí";72;151;146;19;11;11;9;4;1;-;-;-;424
"150812 Ulianópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"150820 Vigia";-;-;2;2;56;51;42;13;3;2;6;2;179
"150830 Viseu";-;-;-;1;-;-;-;-;-;-;-;-;1
"150835 Vitória do Xingu";-;4;11;5;-;1;-;-;-;-;1;1;23
"150840 Xinguara";479;389;-;-;-;1;-;-;-;-;-;5;874
"160010 Amapá";-;-;-;4;-;-;-;-;-;-;-;-;4
"160020 Calçoene";-;2;2;-;6;1;-;-;-;-;-;-;11
"160023 Ferreira Gomes";19;26;12;5;4;2;-;1;1;-;2;-;72
"160025 Itaubal";-;-;-;-;-;1;-;-;-;-;-;-;1
"160027 Laranjal do Jari";3;1;3;5;8;4;-;-;-;1;-;-;25
"160030 Macapá";41;61;57;30;31;22;25;10;14;49;26;20;386
"160040 Mazagão";-;-;1;-;-;-;-;-;-;-;-;-;1
"160050 Oiapoque";26;64;88;24;15;11;-;-;-;2;-;-;230
"160015 Pedra Branca do Amapari";15;13;9;1;2;2;-;-;-;-;-;-;42
"160053 Porto Grande";-;1;3;-;14;4;3;2;-;1;-;-;28
"160060 Santana";10;7;20;11;13;4;-;2;3;-;2;5;77
"160005 Serra do Navio";1;2;3;1;14;8;4;3;-;2;1;-;39
"160070 Tartarugalzinho";8;13;-;-;-;-;-;-;-;-;-;-;21
"170025 Abreulândia";-;-;1;-;1;1;-;-;-;-;-;-;3
"170030 Aguiarnópolis";-;-;2;8;14;19;4;2;-;-;-;1;50
"170035 Aliança do Tocantins";-;2;1;8;-;-;-;-;-;-;-;-;11
"170040 Almas";-;1;-;-;2;2;-;1;-;-;-;-;6
"170100 Ananás";3;-;3;2;3;1;2;-;-;-;-;1;15
"170105 Angico";-;-;-;-;1;-;1;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";4;3;2;-;1;3;4;11;1;1;-;-;30
"170130 Aragominas";-;-;-;-;-;-;-;-;-;1;-;-;1
"170190 Araguacema";2;1;-;-;1;-;-;-;-;-;-;-;4
"170200 Araguaçu";-;2;-;-;-;-;-;-;-;2;1;1;6
"170210 Araguaína";107;232;294;301;273;79;37;24;23;25;22;21;1438
"170215 Araguanã";7;1;1;-;3;1;2;5;-;-;-;-;20
"170220 Araguatins";13;35;30;4;1;-;-;-;-;-;-;1;84
"170230 Arapoema";-;-;-;4;5;-;-;-;-;-;-;-;9
"170240 Arraias";-;3;7;30;16;8;4;7;8;-;1;3;87
"170255 Augustinópolis";13;10;18;-;-;-;-;-;-;-;-;1;42
"170270 Aurora do Tocantins";2;6;17;34;5;2;-;-;-;-;-;-;66
"170290 Axixá do Tocantins";6;1;6;1;-;-;-;-;-;-;-;-;14
"170300 Babaçulândia";-;-;5;3;-;-;1;-;-;-;2;1;12
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-;-;-;-;1;-;1
"170307 Barra do Ouro";-;-;-;-;-;-;-;-;-;-;-;2;2
"170310 Barrolândia";3;-;-;-;-;-;-;-;-;1;-;-;4
"170320 Bernardo Sayão";-;-;-;1;-;-;-;-;-;-;-;1;2
"170330 Bom Jesus do Tocantins";3;-;-;-;-;1;2;-;-;-;1;-;7
"170360 Brasilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"170370 Brejinho de Nazaré";1;1;1;-;1;-;-;-;-;-;-;-;4
"170380 Buriti do Tocantins";2;5;6;3;-;-;-;-;-;-;-;-;16
"170382 Cachoeirinha";2;-;-;-;-;-;-;-;-;-;-;-;2
"170384 Campos Lindos";-;-;-;-;-;-;-;-;-;1;-;-;1
"170386 Cariri do Tocantins";-;-;3;1;-;-;-;1;-;-;1;-;6
"170388 Carmolândia";1;-;2;-;-;-;-;-;-;-;-;-;3
"170389 Carrasco Bonito";-;1;1;-;-;-;-;-;-;-;-;-;2
"170410 Centenário";-;1;-;-;-;-;-;-;-;-;-;-;1
"170510 Chapada da Natividade";-;2;2;-;-;-;-;-;-;-;-;-;4
"170550 Colinas do Tocantins";2;18;15;2;7;2;1;1;-;-;-;-;48
"171670 Colméia";-;-;7;2;-;-;-;-;-;-;-;-;9
"170555 Combinado";18;17;11;12;19;5;-;-;-;-;-;4;86
"170560 Conceição do Tocantins";-;-;1;5;13;4;1;-;-;-;-;-;24
"170600 Couto Magalhães";6;3;5;-;1;1;-;-;-;-;-;-;16
"170610 Cristalândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"170625 Crixás do Tocantins";-;3;1;-;-;-;-;-;-;-;-;-;4
"170650 Darcinópolis";2;-;-;-;-;-;-;-;-;-;-;-;2
"170700 Dianópolis";33;34;21;14;48;34;2;4;2;1;-;-;193
"170710 Divinópolis do Tocantins";6;1;1;1;-;-;2;-;1;-;1;3;16
"170720 Dois Irmãos do Tocantins";-;-;-;-;2;3;-;-;1;2;-;-;8
"170730 Dueré";4;2;2;2;-;-;-;-;-;1;-;-;11
"170740 Esperantina";10;5;1;-;1;-;-;-;-;-;-;-;17
"170765 Figueirópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"170770 Filadélfia";-;-;-;1;-;-;-;-;-;-;-;1;2
"170820 Formoso do Araguaia";-;1;1;4;-;-;-;-;-;-;-;1;7
"170825 Fortaleza do Tabocão";-;1;1;-;-;-;-;-;-;-;-;-;2
"170830 Goianorte";1;1;-;1;-;-;-;-;-;-;-;-;3
"170900 Goiatins";-;1;-;-;-;-;1;-;-;-;-;-;2
"170930 Guaraí";10;13;20;15;17;4;1;-;-;-;1;1;82
"170950 Gurupi";15;14;20;30;11;7;-;4;3;-;3;2;109
"171050 Itacajá";-;-;-;-;-;-;-;-;-;-;1;-;1
"171070 Itaguatins";-;1;1;-;2;-;-;-;-;-;-;-;4
"171110 Itaporã do Tocantins";1;-;1;-;1;-;-;-;-;-;-;-;3
"171150 Jaú do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"171180 Juarina";-;1;-;-;-;-;-;-;-;-;-;-;1
"171190 Lagoa da Confusão";13;24;14;4;2;-;-;1;-;-;1;-;59
"171200 Lajeado";-;-;-;-;-;-;-;1;-;-;-;-;1
"171215 Lavandeira";2;-;11;1;1;1;-;-;-;-;-;-;16
"171250 Marianópolis do Tocantins";-;2;8;-;-;-;-;-;-;-;-;-;10
"171270 Mateiros";-;-;-;1;1;-;-;-;-;-;-;-;2
"171280 Maurilândia do Tocantins";-;-;3;2;-;-;-;-;-;-;-;2;7
"171320 Miracema do Tocantins";5;14;7;15;11;2;5;4;-;-;1;3;67
"171330 Miranorte";-;4;-;8;19;4;-;-;1;-;-;-;36
"171395 Muricilândia";-;-;-;-;1;-;-;-;-;-;-;-;1
"171420 Natividade";1;-;-;-;1;1;-;-;-;-;-;1;4
"171430 Nazaré";4;24;20;2;-;-;-;-;-;-;-;-;50
"171488 Nova Olinda";-;2;25;7;7;2;6;1;-;2;-;2;54
"171500 Nova Rosalândia";-;2;-;-;-;-;-;-;-;-;-;-;2
"171510 Novo Acordo";-;2;1;1;-;-;-;-;1;-;-;-;5
"171515 Novo Alegre";-;2;2;3;4;9;-;1;-;-;1;1;23
"171525 Novo Jardim";-;-;1;-;-;-;-;-;-;-;2;2;5
"172100 Palmas";123;200;185;216;253;100;54;38;19;43;32;51;1314
"171570 Palmeirante";-;-;2;-;-;-;-;-;-;-;-;-;2
"171380 Palmeiras do Tocantins";1;-;1;-;-;-;-;-;-;-;-;-;2
"171575 Palmeirópolis";-;1;1;-;-;-;-;-;-;-;-;-;2
"171610 Paraíso do Tocantins";-;6;8;4;26;22;5;3;2;1;1;2;80
"171620 Paranã";1;7;10;19;17;19;6;1;-;-;1;2;83
"171630 Pau D'Arco";2;1;-;-;-;-;-;-;-;-;-;-;3
"171650 Pedro Afonso";-;2;9;11;5;-;1;1;-;-;-;-;29
"171660 Peixe";-;-;-;2;-;1;-;-;-;-;-;-;3
"171665 Pequizeiro";1;1;1;2;4;1;1;-;-;-;1;-;12
"171700 Pindorama do Tocantins";-;3;1;-;-;-;-;-;-;-;-;-;4
"171720 Piraquê";-;-;-;-;-;-;-;-;-;1;-;-;1
"171750 Pium";5;14;8;3;-;-;-;-;1;1;5;3;40
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;1;2;1;1;-;-;5
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;-;1;1;-;-;-;2
"171820 Porto Nacional";2;15;9;7;6;1;2;1;1;-;-;-;44
"171830 Praia Norte";16;25;5;1;2;-;1;-;1;-;4;-;55
"171840 Presidente Kennedy";-;14;6;4;4;-;-;-;-;-;-;-;28
"171845 Pugmil";-;-;-;-;-;-;-;-;-;-;2;-;2
"171855 Riachinho";-;1;1;-;-;-;-;-;-;1;-;-;3
"171865 Rio da Conceição";10;1;1;-;-;-;-;-;-;-;-;-;12
"171870 Rio dos Bois";1;-;-;-;-;-;-;-;-;-;-;2;3
"171875 Rio Sono";1;1;1;3;-;-;-;-;-;-;-;-;6
"171880 Sampaio";3;8;-;-;-;-;-;-;-;-;-;-;11
"171886 Santa Fé do Araguaia";-;-;1;1;-;-;-;-;-;-;-;-;2
"171888 Santa Maria do Tocantins";-;-;6;-;-;-;-;-;-;-;-;-;6
"171890 Santa Rosa do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"172010 São Bento do Tocantins";-;-;-;-;-;-;-;1;-;-;-;2;3
"172020 São Miguel do Tocantins";-;1;7;3;-;-;-;-;-;-;-;-;11
"172025 São Salvador do Tocantins";-;-;-;8;-;-;-;-;-;-;-;-;8
"172030 São Sebastião do Tocantins";-;1;-;1;1;-;-;-;-;-;-;-;3
"172049 São Valério";-;-;2;4;8;3;-;-;-;-;-;-;17
"172065 Silvanópolis";-;2;-;3;-;1;-;-;-;-;-;-;6
"172080 Sítio Novo do Tocantins";1;2;5;1;-;-;-;-;-;-;-;-;9
"172085 Sucupira";1;-;-;-;-;-;-;-;-;-;-;-;1
"172090 Taguatinga";-;-;-;-;2;1;2;-;-;-;-;-;5
"172097 Talismã";-;-;2;1;-;-;-;-;-;1;-;-;4
"172110 Tocantínia";2;4;-;4;2;2;-;-;-;-;-;-;14
"172120 Tocantinópolis";7;7;57;37;21;7;2;3;2;1;9;4;157
"172208 Wanderlândia";2;-;1;-;1;-;-;-;-;-;-;2;6
"172210 Xambioá";2;2;1;-;-;-;1;-;-;-;-;-;6
"210005 Açailândia";-;-;2;-;-;-;2;-;-;-;-;-;4
"210010 Afonso Cunha";-;-;-;-;-;1;-;-;-;-;-;-;1
"210030 Aldeias Altas";-;-;4;13;2;-;-;-;-;-;-;-;19
"210043 Alto Alegre do Maranhão";-;-;-;-;-;-;-;1;-;-;-;-;1
