DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de notificação e Mês notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150620 Salinópolis";-;2;-;-;1;-;3;4;-;1;-;-;11
"150635 Santa Bárbara do Pará";1;3;2;1;1;1;-;3;1;1;3;-;17
"150650 Santa Izabel do Pará";-;-;2;-;-;-;-;-;-;-;1;-;3
"150655 Santa Luzia do Pará";1;2;12;3;-;-;-;-;-;-;-;-;18
"150658 Santa Maria das Barreiras";1;-;9;31;26;3;-;-;-;2;-;3;75
"150660 Santa Maria do Pará";2;-;1;-;-;-;-;-;-;-;-;-;3
"150670 Santana do Araguaia";1;3;23;26;5;4;-;-;-;-;-;-;62
"150680 Santarém";4;2;5;1;3;2;1;1;3;3;4;1;30
"150690 Santarém Novo";-;-;-;-;-;-;-;1;-;-;-;-;1
"150700 Santo Antônio do Tauá";1;1;-;1;1;-;-;-;-;-;-;-;4
"150710 São Caetano de Odivelas";-;-;5;-;-;-;-;-;-;-;-;-;5
"150715 São Domingos do Araguaia";-;3;-;-;-;-;-;-;-;-;-;7;10
"150720 São Domingos do Capim";-;2;-;-;-;-;-;1;-;1;1;-;5
"150730 São Félix do Xingu";20;13;5;40;41;2;-;-;-;1;12;10;144
"150740 São Francisco do Pará";-;-;-;1;-;-;-;-;1;-;-;-;2
"150745 São Geraldo do Araguaia";-;-;-;2;-;-;-;-;-;-;-;-;2
"150747 São João de Pirabas";-;-;-;-;-;-;-;1;2;1;2;-;6
"150750 São João do Araguaia";9;23;24;23;16;22;1;-;3;2;-;-;123
"150760 São Miguel do Guamá";3;3;1;-;-;-;-;-;-;-;-;-;7
"150780 Senador José Porfírio";-;-;4;-;-;-;2;27;125;75;3;-;236
"150790 Soure";-;-;-;-;5;-;-;-;-;1;-;2;8
"150795 Tailândia";3;2;1;3;-;2;-;-;1;-;-;-;12
"150800 Tomé-Açu";3;5;-;14;11;2;-;-;1;1;1;1;39
"150803 Tracuateua";5;4;2;-;3;1;-;-;1;-;-;3;19
"150808 Tucumã";-;4;4;1;-;-;5;-;-;-;-;-;14
"150810 Tucuruí";3;3;4;1;-;1;1;1;-;-;1;-;15
"150812 Ulianópolis";-;-;-;-;-;-;-;-;-;1;-;-;1
"150815 Uruará";-;-;-;2;-;2;-;-;-;-;-;3;7
"150820 Vigia";-;1;1;1;-;-;-;-;-;-;-;-;3
"150835 Vitória do Xingu";1;31;13;9;3;1;10;7;1;2;7;5;90
"150840 Xinguara";5;2;1;5;3;4;-;-;-;-;-;2;22
"160023 Ferreira Gomes";-;-;-;1;-;-;-;-;-;-;-;-;1
"160027 Laranjal do Jari";1;2;-;-;1;-;-;-;-;-;-;-;4
"160030 Macapá";12;12;30;26;12;7;11;13;8;10;12;5;158
"160050 Oiapoque";2;-;-;2;1;-;-;-;-;-;-;-;5
"160015 Pedra Branca do Amapari";-;-;-;1;-;3;-;-;-;-;-;-;4
"160060 Santana";1;1;4;-;-;-;2;-;1;4;1;-;14
"160005 Serra do Navio";1;3;3;1;2;1;-;-;-;-;-;-;11
"160070 Tartarugalzinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"170025 Abreulândia";-;-;1;-;-;-;1;-;-;-;-;-;2
"170030 Aguiarnópolis";-;-;-;1;4;5;3;-;1;1;-;1;16
"170035 Aliança do Tocantins";1;1;-;5;-;-;-;1;-;-;-;2;10
"170040 Almas";-;-;6;1;-;-;-;-;-;-;-;-;7
"170070 Alvorada";-;-;17;5;-;-;-;-;-;-;-;-;22
"170100 Ananás";-;-;1;2;3;-;5;1;2;3;5;2;24
"170110 Aparecida do Rio Negro";-;-;3;2;-;-;-;-;-;-;-;-;5
"170130 Aragominas";-;-;-;1;5;3;-;1;-;2;6;6;24
"170190 Araguacema";1;-;1;2;-;-;-;-;-;-;-;-;4
"170200 Araguaçu";4;5;18;28;16;4;-;-;-;-;1;2;78
"170210 Araguaína";69;196;411;515;413;91;24;17;10;10;40;53;1849
"170215 Araguanã";4;-;-;2;1;-;-;-;-;-;-;-;7
"170220 Araguatins";5;12;20;4;6;4;-;-;-;-;-;-;51
"170230 Arapoema";-;-;1;4;2;3;-;1;2;1;1;17;32
"170240 Arraias";7;8;60;99;193;51;11;3;2;-;-;-;434
"170255 Augustinópolis";-;1;-;12;5;-;2;-;1;-;1;-;22
"170270 Aurora do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;1
"170300 Babaçulândia";-;3;12;11;17;2;-;-;-;-;-;-;45
"170305 Bandeirantes do Tocantins";-;-;-;-;2;1;-;-;-;-;-;-;3
"170310 Barrolândia";-;9;4;13;15;1;-;-;-;1;-;-;43
"170320 Bernardo Sayão";-;-;-;2;1;-;-;-;-;-;-;-;3
"170330 Bom Jesus do Tocantins";1;8;8;-;1;1;-;-;-;-;-;-;19
"170360 Brasilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"170370 Brejinho de Nazaré";5;3;2;3;3;-;-;-;-;-;-;1;17
"170384 Campos Lindos";15;10;3;1;1;-;-;-;-;-;-;-;30
"170386 Cariri do Tocantins";-;-;-;-;1;-;1;-;-;-;1;2;5
"170388 Carmolândia";-;1;-;1;-;-;-;-;-;-;-;-;2
"170389 Carrasco Bonito";-;-;-;-;-;-;-;1;-;-;-;-;1
"170410 Centenário";1;1;1;1;-;1;-;-;-;-;1;-;6
"170510 Chapada da Natividade";2;2;-;-;-;-;-;-;-;-;-;-;4
"170550 Colinas do Tocantins";6;1;3;3;6;5;2;2;-;-;-;2;30
"171670 Colméia";3;1;10;3;4;-;-;-;-;-;-;-;21
"170555 Combinado";5;5;3;3;1;2;-;-;-;-;-;-;19
"170560 Conceição do Tocantins";1;1;-;4;6;9;1;2;-;1;-;1;26
"170600 Couto Magalhães";1;2;1;-;2;1;-;-;-;-;-;-;7
"170610 Cristalândia";-;1;2;1;-;-;-;-;-;-;1;-;5
"170650 Darcinópolis";-;-;-;-;-;1;-;-;-;-;-;-;1
"170700 Dianópolis";85;71;28;17;16;9;2;-;-;2;3;12;245
"170710 Divinópolis do Tocantins";5;8;15;10;2;1;-;-;-;-;-;3;44
"170720 Dois Irmãos do Tocantins";1;3;6;2;-;-;-;-;-;-;1;3;16
"170730 Dueré";-;-;3;6;-;1;-;-;-;-;-;-;10
"170740 Esperantina";-;-;1;1;1;-;-;-;-;-;-;-;3
"170755 Fátima";-;4;-;-;1;-;-;-;-;-;-;-;5
"170765 Figueirópolis";-;1;8;19;2;-;-;-;-;-;-;-;30
"170770 Filadélfia";-;-;-;1;6;-;-;-;-;-;-;-;7
"170820 Formoso do Araguaia";41;55;54;113;102;49;2;2;-;-;-;1;419
"170825 Fortaleza do Tabocão";-;-;5;2;-;-;-;-;-;-;-;-;7
"170830 Goianorte";-;-;2;1;1;-;-;1;-;-;-;-;5
"170900 Goiatins";2;1;1;-;2;-;-;-;-;-;-;-;6
"170930 Guaraí";6;35;52;12;10;3;1;-;-;2;1;1;123
"170950 Gurupi";1;30;36;82;89;29;4;7;2;5;5;7;297
"170980 Ipueiras";1;1;1;1;-;-;-;-;-;-;-;-;4
"171050 Itacajá";-;1;-;-;1;7;-;-;-;-;-;-;9
"171070 Itaguatins";-;1;2;2;3;-;-;-;-;-;-;-;8
"171090 Itapiratins";-;-;3;-;-;-;-;-;-;-;-;-;3
"171110 Itaporã do Tocantins";-;-;-;4;5;4;1;-;-;-;-;-;14
"171150 Jaú do Tocantins";-;-;1;4;9;6;1;-;-;-;-;-;21
"171190 Lagoa da Confusão";3;22;76;163;12;7;-;-;-;1;-;-;284
"171195 Lagoa do Tocantins";-;-;3;1;-;1;-;-;-;-;-;-;5
"171200 Lajeado";-;2;-;3;2;-;-;-;-;-;-;-;7
"171215 Lavandeira";-;1;1;1;1;1;-;-;-;-;-;-;5
"171240 Lizarda";-;1;6;2;-;-;-;-;-;-;-;-;9
"171245 Luzinópolis";-;-;1;3;-;-;-;-;-;-;1;1;6
"171250 Marianópolis do Tocantins";3;3;3;2;4;1;-;-;-;2;-;1;19
"171270 Mateiros";-;-;1;1;-;-;-;-;-;-;-;-;2
"171280 Maurilândia do Tocantins";-;-;-;10;-;1;-;3;4;-;-;-;18
"171320 Miracema do Tocantins";12;21;23;44;13;14;4;1;1;3;-;5;141
"171330 Miranorte";-;-;3;4;2;1;1;-;-;-;-;1;12
"171360 Monte do Carmo";25;50;19;-;-;-;-;-;-;-;-;-;94
"171370 Monte Santo do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"171395 Muricilândia";-;4;2;5;-;-;-;-;-;1;-;-;12
"171420 Natividade";1;11;16;20;4;1;-;-;-;-;-;-;53
"171430 Nazaré";-;1;1;1;-;-;-;-;-;-;-;-;3
"171488 Nova Olinda";-;2;3;5;5;1;-;-;-;-;-;-;16
"171500 Nova Rosalândia";2;3;1;2;-;1;1;-;-;-;-;-;10
"171510 Novo Acordo";-;-;-;-;1;-;-;-;-;-;-;-;1
"171515 Novo Alegre";-;1;-;-;1;-;-;-;-;-;-;-;2
"171525 Novo Jardim";-;-;5;-;-;-;-;-;-;-;-;-;5
"171550 Oliveira de Fátima";15;8;-;2;-;-;-;-;-;-;-;-;25
"172100 Palmas";1227;1632;1175;759;413;149;51;20;11;63;97;137;5734
"171570 Palmeirante";-;-;-;-;2;-;-;-;-;-;-;-;2
"171380 Palmeiras do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"171575 Palmeirópolis";12;5;12;7;1;1;-;-;-;-;-;-;38
"171610 Paraíso do Tocantins";90;121;96;92;82;41;3;10;10;15;33;35;628
"171620 Paranã";-;12;23;19;24;2;-;-;-;-;-;2;82
"171650 Pedro Afonso";3;25;30;-;-;-;-;-;-;-;-;-;58
"171660 Peixe";1;2;14;67;80;10;1;-;-;-;-;-;175
"171665 Pequizeiro";2;5;3;4;6;-;-;-;-;-;-;-;20
"171700 Pindorama do Tocantins";-;7;1;3;-;-;-;-;-;-;2;-;13
"171750 Pium";-;1;-;1;-;1;-;-;-;-;-;-;3
"171780 Ponte Alta do Bom Jesus";1;2;18;25;12;2;-;-;-;-;-;-;60
"171790 Ponte Alta do Tocantins";5;27;6;1;-;-;-;-;-;-;-;-;39
"171800 Porto Alegre do Tocantins";-;8;7;4;-;-;-;-;-;-;-;-;19
"171820 Porto Nacional";637;406;121;73;50;10;1;4;3;1;9;12;1327
"171830 Praia Norte";6;12;15;8;2;-;-;-;-;1;-;1;45
"171840 Presidente Kennedy";1;-;-;1;-;-;-;-;-;-;-;1;3
"171845 Pugmil";3;1;1;2;1;-;-;-;-;-;-;-;8
"171850 Recursolândia";-;7;-;-;1;-;-;-;-;-;-;-;8
"171855 Riachinho";-;-;2;6;-;1;1;2;-;-;-;-;12
"171865 Rio da Conceição";1;1;-;-;-;-;-;-;-;-;-;-;2
"171870 Rio dos Bois";-;-;3;-;-;-;-;-;-;1;-;-;4
"171875 Rio Sono";-;1;1;1;1;-;-;2;-;2;1;2;11
"171880 Sampaio";1;1;2;2;-;-;-;-;-;-;-;-;6
"171884 Sandolândia";-;3;22;2;-;-;-;-;-;-;-;-;27
"171886 Santa Fé do Araguaia";-;-;3;4;3;-;1;1;-;-;1;1;14
"171889 Santa Rita do Tocantins";2;4;-;-;-;-;-;-;-;-;-;-;6
"171890 Santa Rosa do Tocantins";9;7;1;-;4;-;1;-;-;-;-;-;22
"171900 Santa Tereza do Tocantins";-;2;-;2;8;3;1;-;-;-;-;-;16
"172010 São Bento do Tocantins";-;-;-;4;10;2;-;-;-;-;-;-;16
"172015 São Félix do Tocantins";-;2;1;-;-;-;-;-;-;-;-;-;3
"172020 São Miguel do Tocantins";6;3;2;8;-;1;-;1;-;-;-;-;21
"172025 São Salvador do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"172030 São Sebastião do Tocantins";1;1;-;4;-;2;-;-;-;-;-;-;8
"172049 São Valério";-;-;7;28;24;4;-;-;-;-;-;-;63
"172065 Silvanópolis";4;30;8;4;1;-;-;-;-;-;-;-;47
"172080 Sítio Novo do Tocantins";-;1;-;1;1;1;-;-;-;-;1;-;5
"172085 Sucupira";-;-;4;1;1;-;-;-;-;-;-;-;6
"172090 Taguatinga";1;6;8;2;1;-;-;1;-;-;-;-;19
"172093 Taipas do Tocantins";-;3;15;43;23;-;-;-;-;-;-;-;84
"172097 Talismã";5;10;12;10;3;-;-;-;-;-;-;-;40
"172110 Tocantínia";-;13;-;10;9;1;-;-;-;1;-;-;34
"172120 Tocantinópolis";8;12;14;32;43;13;8;3;5;-;2;-;140
"172125 Tupirama";-;1;9;16;-;-;-;-;-;-;-;-;26
"172130 Tupiratins";-;-;-;1;2;-;-;-;-;-;-;-;3
"172208 Wanderlândia";-;-;-;-;3;-;-;-;-;-;-;-;3
"172210 Xambioá";1;-;4;1;3;2;2;-;-;-;-;-;13
"210005 Açailândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"210030 Aldeias Altas";-;-;-;2;7;-;-;-;-;-;-;-;9
"210043 Alto Alegre do Maranhão";-;4;43;7;-;-;-;-;-;-;-;-;54
"210047 Alto Alegre do Pindaré";-;-;1;3;1;1;-;-;-;-;-;-;6
"210050 Alto Parnaíba";-;1;-;-;3;3;1;-;-;-;-;-;8
"210060 Amarante do Maranhão";-;1;-;8;2;39;-;-;-;-;-;-;50
"210080 Anapurus";3;2;11;33;6;8;1;-;-;-;-;-;64
